Picture Number:   17	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.70 dB,	PSNR-U: 47.65 dB,	PSNR-V: 48.30 dB,	MSE-Y: 4.39,	MSE-U: 1.12,	MSE-V: 0.96,	SSIM-Y: 0.98949,	SSIM-U: 0.99158,	SSIM-V: 0.99146 ]	    764 bytes
Picture Number:   18	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 41.52 dB,	PSNR-U: 47.24 dB,	PSNR-V: 48.21 dB,	MSE-Y: 4.58,	MSE-U: 1.23,	MSE-V: 0.98,	SSIM-Y: 0.98928,	SSIM-U: 0.99143,	SSIM-V: 0.99143 ]	      5 bytes
Picture Number:   19	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.01 dB,	PSNR-U: 46.75 dB,	PSNR-V: 47.91 dB,	MSE-Y: 5.15,	MSE-U: 1.37,	MSE-V: 1.05,	SSIM-Y: 0.98875,	SSIM-U: 0.99109,	SSIM-V: 0.99120 ]	     22 bytes
Picture Number:   20	Temporal Layer Index:    3	 QP:   31	 Average QP:   31  [ PSNR-Y: 40.39 dB,	PSNR-U: 46.20 dB,	PSNR-V: 47.86 dB,	MSE-Y: 5.95,	MSE-U: 1.56,	MSE-V: 1.06,	SSIM-Y: 0.98772,	SSIM-U: 0.99096,	SSIM-V: 0.99135 ]	      5 bytes
Picture Number:   21	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.47 dB,	PSNR-U: 46.58 dB,	PSNR-V: 47.92 dB,	MSE-Y: 4.64,	MSE-U: 1.43,	MSE-V: 1.05,	SSIM-Y: 0.98873,	SSIM-U: 0.99095,	SSIM-V: 0.99118 ]	     55 bytes
Picture Number:   22	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 41.73 dB,	PSNR-U: 46.45 dB,	PSNR-V: 47.97 dB,	MSE-Y: 4.36,	MSE-U: 1.47,	MSE-V: 1.04,	SSIM-Y: 0.98906,	SSIM-U: 0.99072,	SSIM-V: 0.99136 ]	      5 bytes
Picture Number:   23	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.98 dB,	PSNR-U: 46.56 dB,	PSNR-V: 47.89 dB,	MSE-Y: 4.12,	MSE-U: 1.43,	MSE-V: 1.06,	SSIM-Y: 0.98923,	SSIM-U: 0.99089,	SSIM-V: 0.99108 ]	     24 bytes
Picture Number:   24	Temporal Layer Index:    2	 QP:   21	 Average QP:   21  [ PSNR-Y: 42.79 dB,	PSNR-U: 46.62 dB,	PSNR-V: 48.10 dB,	MSE-Y: 3.42,	MSE-U: 1.41,	MSE-V: 1.01,	SSIM-Y: 0.98973,	SSIM-U: 0.99070,	SSIM-V: 0.99136 ]	      5 bytes
Picture Number:   25	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.27 dB,	PSNR-U: 46.91 dB,	PSNR-V: 48.08 dB,	MSE-Y: 3.85,	MSE-U: 1.32,	MSE-V: 1.01,	SSIM-Y: 0.98964,	SSIM-U: 0.99119,	SSIM-V: 0.99125 ]	    127 bytes
Picture Number:   26	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 42.04 dB,	PSNR-U: 47.06 dB,	PSNR-V: 48.23 dB,	MSE-Y: 4.07,	MSE-U: 1.28,	MSE-V: 0.98,	SSIM-Y: 0.98941,	SSIM-U: 0.99123,	SSIM-V: 0.99138 ]	      5 bytes
Picture Number:   27	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.62 dB,	PSNR-U: 47.06 dB,	PSNR-V: 48.32 dB,	MSE-Y: 4.48,	MSE-U: 1.28,	MSE-V: 0.96,	SSIM-Y: 0.98930,	SSIM-U: 0.99111,	SSIM-V: 0.99165 ]	     30 bytes
Picture Number:   28	Temporal Layer Index:    3	 QP:   28	 Average QP:   28  [ PSNR-Y: 42.02 dB,	PSNR-U: 47.04 dB,	PSNR-V: 48.45 dB,	MSE-Y: 4.08,	MSE-U: 1.29,	MSE-V: 0.93,	SSIM-Y: 0.98993,	SSIM-U: 0.99107,	SSIM-V: 0.99176 ]	      5 bytes
Picture Number:   29	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.84 dB,	PSNR-U: 47.08 dB,	PSNR-V: 48.24 dB,	MSE-Y: 4.26,	MSE-U: 1.27,	MSE-V: 0.98,	SSIM-Y: 0.99003,	SSIM-U: 0.99108,	SSIM-V: 0.99154 ]	     80 bytes
Picture Number:   30	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 42.73 dB,	PSNR-U: 47.23 dB,	PSNR-V: 48.29 dB,	MSE-Y: 3.47,	MSE-U: 1.23,	MSE-V: 0.96,	SSIM-Y: 0.99087,	SSIM-U: 0.99091,	SSIM-V: 0.99164 ]	      5 bytes
Picture Number:   31	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.56 dB,	PSNR-U: 47.48 dB,	PSNR-V: 48.35 dB,	MSE-Y: 2.86,	MSE-U: 1.16,	MSE-V: 0.95,	SSIM-Y: 0.99155,	SSIM-U: 0.99079,	SSIM-V: 0.99159 ]	     23 bytes
Picture Number:   32	Temporal Layer Index:    0	 QP:   12	 Average QP:   12  [ PSNR-Y: 45.23 dB,	PSNR-U: 47.74 dB,	PSNR-V: 48.65 dB,	MSE-Y: 1.95,	MSE-U: 1.09,	MSE-V: 0.89,	SSIM-Y: 0.99243,	SSIM-U: 0.99124,	SSIM-V: 0.99192 ]	      5 bytes
Picture Number:   33	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.50 dB,	PSNR-U: 47.70 dB,	PSNR-V: 48.35 dB,	MSE-Y: 2.91,	MSE-U: 1.10,	MSE-V: 0.95,	SSIM-Y: 0.99155,	SSIM-U: 0.99121,	SSIM-V: 0.99158 ]	   2760 bytes
Picture Number:   34	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 42.52 dB,	PSNR-U: 47.59 dB,	PSNR-V: 48.45 dB,	MSE-Y: 3.64,	MSE-U: 1.13,	MSE-V: 0.93,	SSIM-Y: 0.99079,	SSIM-U: 0.99118,	SSIM-V: 0.99166 ]	      5 bytes
Picture Number:   35	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.65 dB,	PSNR-U: 47.21 dB,	PSNR-V: 48.27 dB,	MSE-Y: 4.45,	MSE-U: 1.24,	MSE-V: 0.97,	SSIM-Y: 0.98984,	SSIM-U: 0.99099,	SSIM-V: 0.99149 ]	     30 bytes
Picture Number:   36	Temporal Layer Index:    3	 QP:   28	 Average QP:   28  [ PSNR-Y: 42.26 dB,	PSNR-U: 47.12 dB,	PSNR-V: 48.33 dB,	MSE-Y: 3.87,	MSE-U: 1.26,	MSE-V: 0.96,	SSIM-Y: 0.98998,	SSIM-U: 0.99071,	SSIM-V: 0.99158 ]	      5 bytes
Picture Number:   37	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 40.44 dB,	PSNR-U: 47.25 dB,	PSNR-V: 48.10 dB,	MSE-Y: 5.87,	MSE-U: 1.22,	MSE-V: 1.01,	SSIM-Y: 0.98822,	SSIM-U: 0.99069,	SSIM-V: 0.99098 ]	     86 bytes
Picture Number:   38	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 41.20 dB,	PSNR-U: 47.37 dB,	PSNR-V: 48.07 dB,	MSE-Y: 4.93,	MSE-U: 1.19,	MSE-V: 1.01,	SSIM-Y: 0.98895,	SSIM-U: 0.99098,	SSIM-V: 0.99080 ]	      5 bytes
Picture Number:   39	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.09 dB,	PSNR-U: 47.12 dB,	PSNR-V: 47.99 dB,	MSE-Y: 4.02,	MSE-U: 1.26,	MSE-V: 1.03,	SSIM-Y: 0.98998,	SSIM-U: 0.99113,	SSIM-V: 0.99076 ]	     27 bytes
Picture Number:   40	Temporal Layer Index:    2	 QP:   20	 Average QP:   20  [ PSNR-Y: 43.60 dB,	PSNR-U: 47.45 dB,	PSNR-V: 47.93 dB,	MSE-Y: 2.84,	MSE-U: 1.17,	MSE-V: 1.05,	SSIM-Y: 0.99114,	SSIM-U: 0.99089,	SSIM-V: 0.99065 ]	      5 bytes
Picture Number:   41	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.27 dB,	PSNR-U: 47.41 dB,	PSNR-V: 48.00 dB,	MSE-Y: 3.06,	MSE-U: 1.18,	MSE-V: 1.03,	SSIM-Y: 0.99109,	SSIM-U: 0.99111,	SSIM-V: 0.99092 ]	     91 bytes
Picture Number:   42	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 42.89 dB,	PSNR-U: 47.39 dB,	PSNR-V: 48.17 dB,	MSE-Y: 3.35,	MSE-U: 1.19,	MSE-V: 0.99,	SSIM-Y: 0.99083,	SSIM-U: 0.99117,	SSIM-V: 0.99111 ]	      5 bytes
Picture Number:   43	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.67 dB,	PSNR-U: 47.38 dB,	PSNR-V: 48.18 dB,	MSE-Y: 3.51,	MSE-U: 1.19,	MSE-V: 0.99,	SSIM-Y: 0.99076,	SSIM-U: 0.99105,	SSIM-V: 0.99109 ]	     25 bytes
Picture Number:   44	Temporal Layer Index:    3	 QP:   28	 Average QP:   28  [ PSNR-Y: 43.10 dB,	PSNR-U: 47.45 dB,	PSNR-V: 48.21 dB,	MSE-Y: 3.18,	MSE-U: 1.17,	MSE-V: 0.98,	SSIM-Y: 0.99099,	SSIM-U: 0.99109,	SSIM-V: 0.99109 ]	      5 bytes
Picture Number:   45	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.26 dB,	PSNR-U: 47.35 dB,	PSNR-V: 48.20 dB,	MSE-Y: 3.07,	MSE-U: 1.20,	MSE-V: 0.98,	SSIM-Y: 0.99116,	SSIM-U: 0.99105,	SSIM-V: 0.99125 ]	     53 bytes
Picture Number:   46	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 43.88 dB,	PSNR-U: 47.24 dB,	PSNR-V: 48.21 dB,	MSE-Y: 2.66,	MSE-U: 1.23,	MSE-V: 0.98,	SSIM-Y: 0.99157,	SSIM-U: 0.99093,	SSIM-V: 0.99121 ]	      5 bytes
Picture Number:   47	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 44.31 dB,	PSNR-U: 47.34 dB,	PSNR-V: 48.17 dB,	MSE-Y: 2.41,	MSE-U: 1.20,	MSE-V: 0.99,	SSIM-Y: 0.99172,	SSIM-U: 0.99079,	SSIM-V: 0.99115 ]	     25 bytes
Picture Number:   48	Temporal Layer Index:    1	 QP:   13	 Average QP:   13  [ PSNR-Y: 45.12 dB,	PSNR-U: 47.40 dB,	PSNR-V: 48.20 dB,	MSE-Y: 2.00,	MSE-U: 1.18,	MSE-V: 0.99,	SSIM-Y: 0.99202,	SSIM-U: 0.99093,	SSIM-V: 0.99104 ]	      5 bytes
Picture Number:   49	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 44.30 dB,	PSNR-U: 47.41 dB,	PSNR-V: 48.28 dB,	MSE-Y: 2.42,	MSE-U: 1.18,	MSE-V: 0.97,	SSIM-Y: 0.99154,	SSIM-U: 0.99095,	SSIM-V: 0.99122 ]	    249 bytes
Picture Number:   50	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 43.88 dB,	PSNR-U: 47.39 dB,	PSNR-V: 48.31 dB,	MSE-Y: 2.66,	MSE-U: 1.18,	MSE-V: 0.96,	SSIM-Y: 0.99140,	SSIM-U: 0.99084,	SSIM-V: 0.99135 ]	      5 bytes
Picture Number:   51	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.68 dB,	PSNR-U: 47.42 dB,	PSNR-V: 48.25 dB,	MSE-Y: 2.79,	MSE-U: 1.18,	MSE-V: 0.97,	SSIM-Y: 0.99127,	SSIM-U: 0.99083,	SSIM-V: 0.99123 ]	     24 bytes
Picture Number:   52	Temporal Layer Index:    3	 QP:   30	 Average QP:   30  [ PSNR-Y: 42.75 dB,	PSNR-U: 47.38 dB,	PSNR-V: 48.18 dB,	MSE-Y: 3.46,	MSE-U: 1.19,	MSE-V: 0.99,	SSIM-Y: 0.99071,	SSIM-U: 0.99083,	SSIM-V: 0.99119 ]	      5 bytes
Picture Number:   53	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.77 dB,	PSNR-U: 47.32 dB,	PSNR-V: 47.70 dB,	MSE-Y: 4.33,	MSE-U: 1.20,	MSE-V: 1.10,	SSIM-Y: 0.98994,	SSIM-U: 0.99074,	SSIM-V: 0.99007 ]	     59 bytes
Picture Number:   54	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 42.75 dB,	PSNR-U: 47.12 dB,	PSNR-V: 47.78 dB,	MSE-Y: 3.45,	MSE-U: 1.26,	MSE-V: 1.08,	SSIM-Y: 0.99072,	SSIM-U: 0.99016,	SSIM-V: 0.99012 ]	      5 bytes
Picture Number:   55	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.12 dB,	PSNR-U: 46.96 dB,	PSNR-V: 47.76 dB,	MSE-Y: 3.17,	MSE-U: 1.31,	MSE-V: 1.09,	SSIM-Y: 0.99093,	SSIM-U: 0.99010,	SSIM-V: 0.99009 ]	     24 bytes
Picture Number:   56	Temporal Layer Index:    2	 QP:   25	 Average QP:   25  [ PSNR-Y: 43.43 dB,	PSNR-U: 46.79 dB,	PSNR-V: 47.60 dB,	MSE-Y: 2.95,	MSE-U: 1.36,	MSE-V: 1.13,	SSIM-Y: 0.99111,	SSIM-U: 0.99021,	SSIM-V: 0.98996 ]	      5 bytes
Picture Number:   57	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.21 dB,	PSNR-U: 46.87 dB,	PSNR-V: 47.71 dB,	MSE-Y: 3.10,	MSE-U: 1.34,	MSE-V: 1.10,	SSIM-Y: 0.99114,	SSIM-U: 0.99025,	SSIM-V: 0.99011 ]	    108 bytes
Picture Number:   58	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 42.25 dB,	PSNR-U: 47.03 dB,	PSNR-V: 47.69 dB,	MSE-Y: 3.87,	MSE-U: 1.29,	MSE-V: 1.11,	SSIM-Y: 0.99052,	SSIM-U: 0.99015,	SSIM-V: 0.99002 ]	      5 bytes
Picture Number:   59	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.86 dB,	PSNR-U: 47.05 dB,	PSNR-V: 47.86 dB,	MSE-Y: 4.24,	MSE-U: 1.28,	MSE-V: 1.07,	SSIM-Y: 0.99001,	SSIM-U: 0.99088,	SSIM-V: 0.99044 ]	     23 bytes
Picture Number:   60	Temporal Layer Index:    3	 QP:   30	 Average QP:   30  [ PSNR-Y: 42.25 dB,	PSNR-U: 47.43 dB,	PSNR-V: 48.20 dB,	MSE-Y: 3.87,	MSE-U: 1.17,	MSE-V: 0.99,	SSIM-Y: 0.99032,	SSIM-U: 0.99121,	SSIM-V: 0.99125 ]	      5 bytes
Picture Number:   61	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.26 dB,	PSNR-U: 47.68 dB,	PSNR-V: 48.24 dB,	MSE-Y: 3.86,	MSE-U: 1.11,	MSE-V: 0.98,	SSIM-Y: 0.99056,	SSIM-U: 0.99139,	SSIM-V: 0.99122 ]	     60 bytes
Picture Number:   62	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 42.76 dB,	PSNR-U: 47.64 dB,	PSNR-V: 48.34 dB,	MSE-Y: 3.44,	MSE-U: 1.12,	MSE-V: 0.95,	SSIM-Y: 0.99092,	SSIM-U: 0.99109,	SSIM-V: 0.99135 ]	      5 bytes
Picture Number:   63	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.76 dB,	PSNR-U: 47.59 dB,	PSNR-V: 48.37 dB,	MSE-Y: 2.73,	MSE-U: 1.13,	MSE-V: 0.95,	SSIM-Y: 0.99158,	SSIM-U: 0.99087,	SSIM-V: 0.99143 ]	     24 bytes
Picture Number:   64	Temporal Layer Index:    0	 QP:   10	 Average QP:   10  [ PSNR-Y: 45.75 dB,	PSNR-U: 47.60 dB,	PSNR-V: 48.45 dB,	MSE-Y: 1.73,	MSE-U: 1.13,	MSE-V: 0.93,	SSIM-Y: 0.99253,	SSIM-U: 0.99082,	SSIM-V: 0.99158 ]	      5 bytes
Picture Number:   65	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.98 dB,	PSNR-U: 47.58 dB,	PSNR-V: 48.12 dB,	MSE-Y: 2.60,	MSE-U: 1.14,	MSE-V: 1.00,	SSIM-Y: 0.99152,	SSIM-U: 0.99090,	SSIM-V: 0.99103 ]	   2899 bytes
Picture Number:   66	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 42.85 dB,	PSNR-U: 47.37 dB,	PSNR-V: 48.11 dB,	MSE-Y: 3.38,	MSE-U: 1.19,	MSE-V: 1.00,	SSIM-Y: 0.99056,	SSIM-U: 0.99067,	SSIM-V: 0.99108 ]	      5 bytes
